Date : 2023-11-25 07:06:19
Directory : /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend
Total : 159 files,  31345 codes, 443 comments, 1403 blanks, all 33191 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/linkedin.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/loading.svg                                                    | XML        |         10 |          0 |          0 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/location.svg                                                   | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/management.svg                                                 | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/maximize.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/mobile-menu.svg                                                | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/monitor.svg                                                    | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/monitoring-icon.svg                                            | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/paid-restore.svg                                               | XML        |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/purchase-geoblocs-v2.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/purchase-geoblocs.svg                                          | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/radical-transparency-v2.svg                                    | XML        |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/radical-transparency.svg                                       | XML        |          6 |          0 |          1 |          7 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/register-project-v2.svg                                        | XML        |          1 |          0 |          0 |          1 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/register-project.svg                                           | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/register.svg                                                   | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/right-arrow-b.svg                                              | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/right-arrow-g.svg                                              | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/right-arrow.svg                                                | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/scientists.svg                                                 | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/season-icon.svg                                                | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/sell.svg                                                       | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/share.svg                                                      | XML        |          3 |          0 |          1 |          4 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/shield.svg                                                     | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/sponsors-icon.svg                                              | XML        |          9 |          0 |          1 |         10 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/stewards.svg                                                   | XML        |          5 |          0 |          1 |          6 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/streamlined-process.svg                                        | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/assets/svg/wallet.svg                                                     | XML        |          4 |          0 |          1 |          5 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Carousel.js                                                    | JavaScript |         44 |          0 |          7 |         51 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/CarouselTwo.js                                                 | JavaScript |         64 |          0 |          8 |         72 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Footer.js                                                      | JavaScript |         58 |          0 |          5 |         63 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Loading.js                                                     | JavaScript |         16 |          0 |          4 |         20 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Navbar.js                                                      | JavaScript |        333 |          0 |         17 |        350 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Paypal.js                                                      | JavaScript |         71 |          4 |         10 |         85 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Tester.js                                                      | JavaScript |          9 |          0 |          2 |         11 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/Transition.js                                                  | JavaScript |         17 |          0 |          5 |         22 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/ButtonsContainer.js                                      | JavaScript |         46 |          0 |          3 |         49 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/GeoblocsChart.js                                         | JavaScript |        146 |          5 |         12 |        163 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/StatusChart.js                                           | JavaScript |        124 |          4 |          6 |        134 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ManageGeoblocs.js                           | JavaScript |        296 |          5 |         14 |        315 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectConditions.js                        | JavaScript |        128 |          0 |         11 |        139 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectDocuments.js                         | JavaScript |        169 |          1 |         15 |        185 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectEnvironment.js                       | JavaScript |        147 |          0 |         14 |        161 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectGallery.js                           | JavaScript |        107 |         12 |         10 |        129 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectLinks.js                             | JavaScript |        123 |          0 |         12 |        135 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectMetadata.js                          | JavaScript |        348 |         12 |         20 |        380 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectMonitoring.js                        | JavaScript |        167 |          3 |         14 |        184 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectSeasons.js                           | JavaScript |        167 |          0 |         14 |        181 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectSponsors.js                          | JavaScript |        170 |          0 |         14 |        184 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/admin/project-view/ProjectStory.js                             | JavaScript |        147 |          0 |         13 |        160 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/LandConditions.js                         | JavaScript |         74 |          0 |          9 |         83 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/MapComponent.js                           | JavaScript |         48 |          0 |          4 |         52 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/SimilarProjects.js                        | JavaScript |         83 |          0 |          7 |         90 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/subWindows/DocumentsSW.js                 | JavaScript |         62 |          0 |          8 |         70 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/subWindows/EnvironmentSW.js               | JavaScript |         67 |          2 |          9 |         78 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/subWindows/LinksSW.js                     | JavaScript |         60 |          0 |          8 |         68 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/subWindows/MonitorsSW.js                  | JavaScript |         61 |          0 |          7 |         68 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/subWindows/SeasonsSW.js                   | JavaScript |         84 |          0 |          8 |         92 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/platform/projectView/subWindows/SponsorsSW.js                  | JavaScript |         60 |          0 |          7 |         67 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/stakeholders/Buyers.js                                         | JavaScript |        133 |         13 |         13 |        159 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/stakeholders/LandStewards.js                                   | JavaScript |        232 |          0 |         28 |        260 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/components/stakeholders/Scientists.js                                     | JavaScript |         45 |          0 |          8 |         53 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/index.css                                                                 | CSS        |         22 |          5 |          7 |         34 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/index.js                                                                  | JavaScript |         16 |          1 |          4 |         21 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/ApplicationView.js                                      | JavaScript |        197 |          0 |          9 |        206 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/Applications.js                                         | JavaScript |        121 |          1 |         14 |        136 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/CreateNewProject.js                                     | JavaScript |        117 |          1 |          8 |        126 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/CreateNewProjectBk.js                                   | JavaScript |        158 |          0 |         13 |        171 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/Dashboard.js                                            | JavaScript |         37 |          0 |          8 |         45 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/Login.js                                                | JavaScript |         66 |          0 |          7 |         73 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/ProjectView.js                                          | JavaScript |        428 |         10 |         21 |        459 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/Projects.js                                             | JavaScript |        134 |          9 |         12 |        155 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/admin-panel/Stats.js                                                | JavaScript |         38 |          0 |          7 |         45 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/CaseStudies.js                                         | JavaScript |         52 |        155 |          9 |        216 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Contact.js                                             | JavaScript |         37 |          0 |          5 |         42 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/Home.js                                                | JavaScript |        223 |          2 |         17 |        242 |
| /home/manuareraa/Personal/github/personal/geia/apps/geoblocs-frontend/src/pages/landing-site/ProjectStories.js                                      | JavaScript |        255 |          3 |         16 |        274 |
